22:50:18.857920 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 41145:42513, ack 1, win 2048, options [nop,nop,TS val 1330161620 ecr 1488063523], length 1368
22:50:18.857924 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 42513:43881, ack 1, win 2048, options [nop,nop,TS val 1330161620 ecr 1488063523], length 1368
22:50:18.857925 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 43881:45249, ack 1, win 2048, options [nop,nop,TS val 1330161620 ecr 1488063523], length 1368
22:50:18.857927 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 45249:46617, ack 1, win 2048, options [nop,nop,TS val 1330161620 ecr 1488063523], length 1368
22:50:18.857928 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 46617:47985, ack 1, win 2048, options [nop,nop,TS val 1330161620 ecr 1488063523], length 1368
22:50:18.857929 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 47985:49353, ack 1, win 2048, options [nop,nop,TS val 1330161620 ecr 1488063523], length 1368
22:50:18.857930 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 49353:49374, ack 1, win 2048, options [nop,nop,TS val 1330161620 ecr 1488063523], length 21
22:50:18.875234 IP 10.34.1.208.52665 > 216.58.194.138.443: Flags [.], seq 2435550946:2435552314, ack 3836058678, win 2048, options [nop,nop,TS val 1330161635 ecr 3671763297], length 1368
22:50:18.875239 IP 10.34.1.208.52665 > 216.58.194.138.443: Flags [P.], seq 1368:1627, ack 1, win 2048, options [nop,nop,TS val 1330161635 ecr 3671763297], length 259
22:50:18.930439 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 49374:50742, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930444 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 50742:52110, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930445 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 52110:53478, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930446 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 53478:54846, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930447 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 54846:56214, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930448 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 56214:57582, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
22:50:18.930449 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 57582:57603, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 21
22:50:18.930622 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 57603:58971, ack 1, win 2048, options [nop,nop,TS val 1330161689 ecr 1488063541], length 1368
